Ano de eleição;Cargo;Município;Quantidade de aptos;Quantidade de abstenções;Data de carga
2022;Conselheiro Distrital;FERNANDO DE NORONHA;3297;998;2023-06-19 19:56:40
2022;Deputado Distrital;BRASÍLIA;2193783;386299;2023-06-19 19:56:40
2022;Deputado Estadual;ABADIA DE GOIÁS;12218;2960;2023-06-19 19:56:40
2022;Deputado Estadual;ABADIA DOS DOURADOS;5706;1100;2023-06-19 19:56:40
2022;Deputado Estadual;ABADIÂNIA;10813;2141;2023-06-19 19:56:40
2022;Deputado Estadual;ABAETETUBA;119591;19632;2023-06-19 19:56:40
2022;Deputado Estadual;ABAETÉ;18927;4739;2023-06-19 19:56:40
2022;Deputado Estadual;ABAIARA;7206;1288;2023-06-19 19:56:40
2022;Deputado Estadual;ABARÉ;14575;2624;2023-06-19 19:56:40
2022;Deputado Estadual;ABATIÁ;5940;1383;2023-06-19 19:56:40
2022;Deputado Estadual;ABAÍRA;7181;1721;2023-06-19 19:56:40
2022;Deputado Estadual;ABDON BATISTA;2503;369;2023-06-19 19:56:40
2022;Deputado Estadual;ABEL FIGUEIREDO;5467;1223;2023-06-19 19:56:40
2022;Deputado Estadual;ABELARDO LUZ;12788;3095;2023-06-19 19:56:40
2022;Deputado Estadual;ABRE CAMPO;11459;2302;2023-06-19 19:56:40
2022;Deputado Estadual;ABREU E LIMA;84026;15126;2023-06-19 19:56:40
2022;Deputado Estadual;ABREULÂNDIA;2339;440;2023-06-19 19:56:40
2022;Deputado Estadual;ACAIACA;3537;876;2023-06-19 19:56:40
2022;Deputado Estadual;ACAJUTIBA;12237;3015;2023-06-19 19:56:40
2022;Deputado Estadual;ACARAPE;11555;1529;2023-06-19 19:56:40
2022;Deputado Estadual;ACARAÚ;45411;8686;2023-06-19 19:56:40
2022;Deputado Estadual;ACARI;9204;1789;2023-06-19 19:56:40
2022;Deputado Estadual;ACARÁ;44082;6468;2023-06-19 19:56:40
2022;Deputado Estadual;ACAUÃ;6075;604;2023-06-19 19:56:40
2022;Deputado Estadual;ACEGUÁ;3833;793;2023-06-19 19:56:40
2022;Deputado Estadual;ACOPIARA;39393;8421;2023-06-19 19:56:40
2022;Deputado Estadual;ACORIZAL;6660;1085;2023-06-19 19:56:40
2022;Deputado Estadual;ACRELÂNDIA;9521;2228;2023-06-19 19:56:40
2022;Deputado Estadual;ACREÚNA;15172;3351;2023-06-19 19:56:40
2022;Deputado Estadual;ADAMANTINA;27635;6993;2023-06-19 19:56:40
2022;Deputado Estadual;ADELÂNDIA;2794;564;2023-06-19 19:56:40
2022;Deputado Estadual;ADOLFO;4298;1069;2023-06-19 19:56:40
2022;Deputado Estadual;ADRIANÓPOLIS;5449;1277;2023-06-19 19:56:40
2022;Deputado Estadual;ADUSTINA;11850;2169;2023-06-19 19:56:40
2022;Deputado Estadual;AFOGADOS DA INGAZEIRA;28489;6046;2023-06-19 19:56:40
2022;Deputado Estadual;AFONSO BEZERRA;9841;1858;2023-06-19 19:56:40
2022;Deputado Estadual;AFONSO CLÁUDIO;25363;6722;2023-06-19 19:56:40
2022;Deputado Estadual;AFONSO CUNHA;7126;1700;2023-06-19 19:56:40
2022;Deputado Estadual;AFRÂNIO;17234;3461;2023-06-19 19:56:40
2022;Deputado Estadual;AFUÁ;27034;5847;2023-06-19 19:56:40
2022;Deputado Estadual;AGRESTINA;19648;3196;2023-06-19 19:56:40
2022;Deputado Estadual;AGRICOLÂNDIA;5063;1040;2023-06-19 19:56:40
2022;Deputado Estadual;AGROLÂNDIA;8001;1212;2023-06-19 19:56:40
2022;Deputado Estadual;AGRONÔMICA;4339;610;2023-06-19 19:56:40
2022;Deputado Estadual;AGUANIL;4005;838;2023-06-19 19:56:40
2022;Deputado Estadual;AGUAÍ;24068;5861;2023-06-19 19:56:40
2022;Deputado Estadual;AGUDO;12419;1393;2023-06-19 19:56:40
2022;Deputado Estadual;AGUDOS;30494;7180;2023-06-19 19:56:40
2022;Deputado Estadual;AGUDOS DO SUL;8005;1367;2023-06-19 19:56:40
2022;Deputado Estadual;AGUIAR;4794;976;2023-06-19 19:56:40
2022;Deputado Estadual;AGUIARNÓPOLIS;3749;687;2023-06-19 19:56:40
2022;Deputado Estadual;AIMORÉS;19164;5014;2023-06-19 19:56:40
2022;Deputado Estadual;AIQUARA;4184;1058;2023-06-19 19:56:40
2022;Deputado Estadual;AIUABA;11740;3079;2023-06-19 19:56:40
2022;Deputado Estadual;AIURUOCA;5159;1227;2023-06-19 19:56:40
2022;Deputado Estadual;AJURICABA;5898;907;2023-06-19 19:56:40
2022;Deputado Estadual;ALAGOA;2473;546;2023-06-19 19:56:40
2022;Deputado Estadual;ALAGOA GRANDE;22071;4801;2023-06-19 19:56:40
2022;Deputado Estadual;ALAGOA NOVA;15995;3204;2023-06-19 19:56:40
2022;Deputado Estadual;ALAGOINHA;24263;5026;2023-06-19 19:56:40
2022;Deputado Estadual;ALAGOINHA DO PIAUÍ;5902;809;2023-06-19 19:56:40
2022;Deputado Estadual;ALAGOINHAS;111824;22236;2023-06-19 19:56:40
2022;Deputado Estadual;ALAMBARI;4929;976;2023-06-19 19:56:40
2022;Deputado Estadual;ALBERTINA;2980;627;2023-06-19 19:56:40
2022;Deputado Estadual;ALCANTIL;4663;595;2023-06-19 19:56:40
2022;Deputado Estadual;ALCINÓPOLIS;3605;908;2023-06-19 19:56:40
2022;Deputado Estadual;ALCOBAÇA;18831;5303;2023-06-19 19:56:40
2022;Deputado Estadual;ALCÂNTARA;18148;4826;2023-06-19 19:56:40
2022;Deputado Estadual;ALCÂNTARAS;9674;2060;2023-06-19 19:56:40
2022;Deputado Estadual;ALDEIAS ALTAS;19432;5757;2023-06-19 19:56:40
2022;Deputado Estadual;ALECRIM;5475;785;2023-06-19 19:56:40
2022;Deputado Estadual;ALEGRE;23807;5402;2023-06-19 19:56:40
2022;Deputado Estadual;ALEGRETE;58197;15628;2023-06-19 19:56:40
2022;Deputado Estadual;ALEGRETE DO PIAUÍ;4334;875;2023-06-19 19:56:40
2022;Deputado Estadual;ALEGRIA;3282;520;2023-06-19 19:56:40
2022;Deputado Estadual;ALENQUER;40901;7816;2023-06-19 19:56:40
2022;Deputado Estadual;ALEXANDRIA;11252;2135;2023-06-19 19:56:40
2022;Deputado Estadual;ALEXÂNIA;20186;4056;2023-06-19 19:56:40
2022;Deputado Estadual;ALFENAS;61202;14204;2023-06-19 19:56:40
2022;Deputado Estadual;ALFREDO CHAVES;12478;2777;2023-06-19 19:56:40
2022;Deputado Estadual;ALFREDO MARCONDES;4047;887;2023-06-19 19:56:40
2022;Deputado Estadual;ALFREDO VASCONCELOS;5774;878;2023-06-19 19:56:40
2022;Deputado Estadual;ALFREDO WAGNER;7658;934;2023-06-19 19:56:40
2022;Deputado Estadual;ALGODÃO DE JANDAÍRA;2980;564;2023-06-19 19:56:40
2022;Deputado Estadual;ALHANDRA;18762;3157;2023-06-19 19:56:40
2022;Deputado Estadual;ALIANÇA;28694;6608;2023-06-19 19:56:40
2022;Deputado Estadual;ALIANÇA DO TOCANTINS;4202;865;2023-06-19 19:56:40
2022;Deputado Estadual;ALMADINA;5157;1508;2023-06-19 19:56:40
2022;Deputado Estadual;ALMAS;5090;1017;2023-06-19 19:56:40
2022;Deputado Estadual;ALMEIRIM;23616;5937;2023-06-19 19:56:40
2022;Deputado Estadual;ALMENARA;30391;8407;2023-06-19 19:56:40
2022;Deputado Estadual;ALMINO AFONSO;5124;812;2023-06-19 19:56:40
2022;Deputado Estadual;ALMIRANTE TAMANDARÉ;75146;15154;2023-06-19 19:56:40
2022;Deputado Estadual;ALMIRANTE TAMANDARÉ DO SUL;1895;225;2023-06-19 19:56:40
2022;Deputado Estadual;ALOÂNDIA;2067;380;2023-06-19 19:56:40
2022;Deputado Estadual;ALPERCATA;6485;1905;2023-06-19 19:56:40
2022;Deputado Estadual;ALPESTRE;6225;1184;2023-06-19 19:56:40
2022;Deputado Estadual;ALPINÓPOLIS;15776;3384;2023-06-19 19:56:40
2022;Deputado Estadual;ALTA FLORESTA;41455;10768;2023-06-19 19:56:40
2022;Deputado Estadual;ALTA FLORESTA D'OESTE;19394;5313;2023-06-19 19:56:40
