ds_pais_uf;nr_ano;nr_mes;nm_mes;qt_eleitor;qt_eleitor_biometria;qt_eleitor_deficiencia;qt_eleitor_inc_nm_social;dt_carga
Brasil;2023;5;Maio;558825;481116;5596;130;2023-06-05 16:39:28
Brasil;2023;4;Abril;558588;466941;0;128;2023-05-03 18:28:37
Brasil;2023;3;Março;558537;466976;5598;124;2023-04-27 19:51:57
Brasil;2023;2;Fevereiro;558245;467227;5595;124;2023-04-27 19:35:12
Brasil;2023;1;Janeiro;557860;467444;5597;125;2023-04-27 19:15:27
Brasil;2022;12;Dezembro;557348;467685;5588;124;2023-04-28 11:15:31
Brasil;2022;11;Novembro;557170;467877;5568;124;2023-04-28 11:14:17
Brasil;2022;10;Outubro;558140;468888;5607;121;2023-04-28 11:12:51
Brasil;2022;9;Setembro;558140;468888;5605;121;2023-04-28 11:10:49
Brasil;2022;8;Agosto;558140;468890;5604;121;2023-04-28 11:09:36
Brasil;2022;7;Julho;558140;468890;5603;121;2023-04-27 21:56:06
Brasil;2022;6;Junho;558140;468885;5603;121;2023-04-27 21:24:47
Brasil;2022;5;Maio;504744;469252;5427;121;2023-04-27 20:49:55
Brasil;2022;4;Abril;495494;469363;5266;92;2023-04-27 20:18:55
Brasil;2022;3;Março;488933;469032;5111;72;2023-04-27 19:51:57
Brasil;2022;2;Fevereiro;485565;468916;5058;62;2023-04-27 19:35:12
Brasil;2022;1;Janeiro;483343;469029;5021;59;2023-04-27 19:15:27
Brasil;2021;12;Dezembro;481118;469186;5001;58;2023-04-28 19:03:14
Brasil;2021;11;Novembro;480423;469331;4988;57;2023-04-28 19:03:14
Brasil;2021;10;Outubro;479608;469563;4979;58;2023-04-28 19:03:14
Brasil;2021;9;Setembro;478939;469815;4976;58;2023-04-28 19:03:14
Brasil;2021;8;Agosto;478119;469968;4967;57;2023-04-28 18:44:56
Brasil;2021;7;Julho;477601;470313;4956;52;2023-04-28 18:44:56
Brasil;2021;6;Junho;477019;470570;4951;51;2023-04-27 21:24:47
Brasil;2021;5;Maio;476307;470851;4951;51;2023-04-27 20:49:55
Brasil;2021;4;Abril;475691;471212;4957;50;2023-04-27 20:18:55
Brasil;2021;3;Março;475288;471539;4971;50;2023-04-27 19:51:57
Brasil;2021;2;Fevereiro;474813;471864;4976;47;2023-04-27 19:35:12
Brasil;2021;1;Janeiro;474096;472052;4978;44;2023-04-27 19:15:27
Brasil;2020;12;Dezembro;473684;472428;4987;43;2023-04-28 19:28:42
Brasil;2020;11;Novembro;540501;474021;5286;43;2023-04-28 19:28:42
Brasil;2020;10;Outubro;540501;474021;5284;43;2023-04-28 19:28:42
Brasil;2020;9;Setembro;540501;474021;5284;43;2023-04-28 19:28:42
Brasil;2020;8;Agosto;540501;474021;5284;43;2023-04-28 19:28:42
Brasil;2020;7;Julho;540501;474021;5284;43;2023-04-28 19:28:42
Brasil;2020;6;Junho;540501;474018;5284;43;2023-04-28 21:54:42
Brasil;2020;5;Maio;540894;474264;5296;43;2023-04-28 21:54:42
Brasil;2020;4;Abril;476736;474642;5090;43;2023-04-28 21:54:42
Brasil;2020;3;Março;468844;468658;5053;41;2023-04-28 21:54:42
Brasil;2020;2;Fevereiro;540949;468046;5312;41;2023-04-28 21:54:42
Brasil;2020;1;Janeiro;540589;467129;5303;40;2023-04-28 21:54:42
Brasil;2019;12;Dezembro;539778;465412;5296;43;2023-04-28 22:02:47
Brasil;2019;11;Novembro;530933;408552;4951;37;2023-04-28 22:02:47
Brasil;2019;10;Outubro;526158;378510;4613;37;2023-04-28 22:02:47
Brasil;2019;9;Setembro;522116;350314;4371;36;2023-04-28 22:02:47
Brasil;2019;8;Agosto;519200;329912;4182;39;2023-04-28 22:02:47
Brasil;2019;7;Julho;515926;306296;4016;38;2023-04-28 22:02:47
Brasil;2019;6;Junho;512165;280155;3848;38;2023-04-28 21:33:34
Brasil;2019;5;Maio;509378;257505;3692;38;2023-04-28 21:33:34
Brasil;2019;4;Abril;515422;222712;3386;38;2023-04-28 21:33:34
Brasil;2019;3;Março;513590;203215;3142;36;2023-04-28 21:33:34
Brasil;2019;2;Fevereiro;512361;194157;3036;34;2023-04-28 21:33:34
Brasil;2019;1;Janeiro;510924;187457;2988;34;2023-04-28 21:33:34
Brasil;2018;12;Dezembro;509041;183002;2940;36;2023-04-28 22:18:18
Brasil;2018;11;Novembro;508640;181165;2915;35;2023-04-28 22:18:18
Brasil;2018;10;Outubro;508575;178481;2905;35;2023-04-28 22:18:18
Brasil;2018;9;Setembro;508693;178517;2910;35;2023-04-28 22:18:18
Brasil;2018;8;Agosto;508693;178517;2908;35;2023-04-28 22:18:18
Brasil;2018;7;Julho;508693;178517;2908;35;2023-04-28 22:18:18
Brasil;2018;6;Junho;508693;178517;2907;35;2023-04-27 21:24:47
Brasil;2018;5;Maio;508804;178525;2908;35;2023-04-27 20:49:55
Brasil;2018;4;Abril;506505;172089;2708;28;2023-04-27 20:18:55
Brasil;2018;3;Março;500157;145425;2450;16;2023-04-27 19:51:57
Brasil;2018;2;Fevereiro;497679;132920;2240;16;2023-04-27 19:35:12
Brasil;2018;1;Janeiro;495466;124038;2163;16;2023-04-27 19:15:27
Brasil;2017;12;Dezembro;491943;109224;2079;14;2023-04-28 22:28:20
Brasil;2017;11;Novembro;491557;103618;1980;13;2023-04-28 22:28:20
Brasil;2017;10;Outubro;490567;95966;1890;11;2023-04-28 22:28:20
Brasil;2017;9;Setembro;489634;88849;1824;11;2023-04-28 22:28:20
Brasil;2017;8;Agosto;489284;85724;1786;11;2023-04-28 22:28:20
Brasil;2017;7;Julho;488780;82620;1765;11;2023-04-28 22:28:20
Brasil;2017;6;Junho;487884;78848;1739;11;2023-04-27 21:24:47
Brasil;2017;5;Maio;487008;74789;1720;9;2023-04-27 20:49:55
Brasil;2017;4;Abril;493659;71507;1707;10;2023-04-27 20:18:55
Brasil;2017;3;Março;493135;69170;1688;10;2023-04-27 19:51:57
Brasil;2017;2;Fevereiro;492011;65691;1657;8;2023-04-27 19:35:12
Brasil;2017;1;Janeiro;490985;63236;1653;8;2023-04-27 19:15:27
Brasil;2016;12;Dezembro;488736;58309;1625;8;2023-04-28 22:42:52
Brasil;2016;11;Novembro;488652;57625;1614;7;2023-04-28 22:42:52
Brasil;2016;10;Outubro;488647;54322;1580;7;2023-04-28 22:42:52
Brasil;2016;9;Setembro;488647;54322;1576;7;2023-04-28 22:42:52
Brasil;2016;8;Agosto;488647;54322;1574;7;2023-04-28 22:42:52
Brasil;2016;7;Julho;488647;54322;1572;7;2023-04-28 22:42:52
Brasil;2016;6;Junho;488647;54322;1571;7;2023-04-27 21:24:47
Brasil;2016;5;Maio;488804;54324;1573;7;2023-04-27 20:49:55
Brasil;2016;4;Abril;486662;48446;1547;7;2023-04-27 20:18:55
